"trace_id","platform_time","Side","Role","Platform rate/-s","Platform asset","Exchange rate/-s","Exchange asset","fee_difference"
"9205207005547577491","2024-03-23 16:05:50.144865","Bid","Maker","-0.007846650000000000","quote","-0.00784665","base","0.000000000000000000"
"9204447792769482538","2024-03-23 15:19:46.672983","Ask","Maker","-0.050000000000000000","base","-0.05","base","0.000000000000000000"
"9204438721797338793","2024-03-23 15:19:13.206378","Ask","Maker","-0.000019000000000000","base","-0.000019","base","0.000000000000000000"
"9204438446920759418","2024-03-23 15:19:12.399587","Bid","Maker","-0.007883550000000000","quote","-0.00788355","quote","0.000000000000000000"
"9204438446919431753","2024-03-23 15:19:12.8817","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9204437347409018050","2024-03-23 15:19:08.757025","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9204327671124417758","2024-03-23 15:12:29.131702","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9204292211874112234","2024-03-23 15:10:21.480511","Ask","Maker","-0.002000000000000000","base","-0.002","base","0.000000000000000000"
"9204245482628875855","2024-03-23 15:07:30.170212","Ask","Maker","-0.002000000000000000","base","-0.002","base","0.000000000000000000"
"9203913430116814824","2024-03-23 14:47:23.05805","Ask","Maker","-0.050000000000000000","base","-0.05","quote","0.000000000000000000"
"9203805128221812134","2024-03-23 14:40:48.193254","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203804028710026218","2024-03-23 14:40:44.256732","Ask","Maker","-0.050000000000000000","base","-0.05","base","0.000000000000000000"
"9203803478953592798","2024-03-23 14:40:42.622401","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203725688508108912","2024-03-23 14:36:01.222427","Ask","Maker","-0.050000000000000000","base","-0.05","quote","0.000000000000000000"
"9203692703160479507","2024-03-23 14:33:59.293177","Ask","Maker","-0.045650000000000000","base","-0.04565","base","0.000000000000000000"
"9203692703158654003","2024-03-23 14:33:59.256633","Ask","Maker","-0.004350000000000000","base","-0.00435","base","0.000000000000000000"
"9203645699038339726","2024-03-23 14:31:08.684441","Bid","Maker","-0.010179900000000000","quote","-0.0101799","quote","0.000000000000000000"
"9203641575866673848","2024-03-23 14:30:53.043618","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203640751232952874","2024-03-23 14:30:51.028872","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203639101968572426","2024-03-23 14:30:44.422503","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203600619060735128","2024-03-23 14:28:24.706367","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203600619058040455","2024-03-23 14:28:24.357674","Ask","Maker","-0.050000000000000000","base","-0.05","base","0.000000000000000000"
"9203599519550220172","2024-03-23 14:28:24.292228","Ask","Maker","-0.001064540059347181","aux","-0.001064540059347181","quote","0.000000000000000000"
"9203599244670408637","2024-03-23 14:28:19.214662","Bid","Taker","0.110000000000000000","base","0.11","base","0.000000000000000000"
"9203447786943776795","2024-03-23 14:19:09.052711","Ask","Maker","-0.007500000000000000","base","-0.0075","base","0.000000000000000000"
"9203243002902197043","2024-03-23 14:06:45.535574","Bid","Maker","-0.001720692603000000","quote","-0.001720692603","base","0.000000000000000000"
"9203215789990261588","2024-03-23 14:05:04.476443","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9203215789990261550","2024-03-23 14:05:04.42082","Bid","Taker","0.016500000000000000","base","0.0165","base","0.000000000000000000"
"9203100891024032640","2024-03-23 13:58:16.904814","Bid","Maker","-0.008245000000000000","quote","-0.008245","base","0.000000000000000000"
"9202945310130009718","2024-03-23 13:48:40.835966","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9202945310127613966","2024-03-23 13:48:40.673834","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9202944485495424533","2024-03-23 13:48:37.500289","Ask","Maker","-0.007500000000000000","base","-0.0075","base","0.000000000000000000"
"9202174827356843132","2024-03-23 13:01:57.305325","Bid","Maker","-0.008267650000000000","quote","-0.00826765","base","0.000000000000000000"
"9202010175490859121","2024-03-23 12:52:03.12483","Ask","Maker","-0.000333100000000000","base","-0.0003331","base","0.000000000000000000"
"9201802367791692942","2024-03-23 12:39:22.251323","Ask","Maker","-0.002000000000000000","base","-0.002","quote","0.000000000000000000"
"9201771856346240015","2024-03-23 12:37:31.386279","Bid","Taker","0.104500000000000000","base","0.1045","base","0.000000000000000000"
"9201759761716795508","2024-03-23 12:36:47.27361","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9201649535677948894","2024-03-23 12:30:11.825553","Ask","Maker","-0.002000000000000000","base","-0.002","base","0.000000000000000000"
"9200203952762129184","2024-03-23 11:02:29.073809","Ask","Maker","-0.050000000000000000","base","-0.05","quote","0.000000000000000000"
"9199825995643341624","2024-03-23 10:39:51.425504","Bid","Maker","-0.008070300000000000","quote","-0.0080703","quote","0.000000000000000000"
